X,Y,施設名,施設名かな,施設名（施設名かな）,所在地,地区名,詳細情報,カテゴリ,アイコン番号,施設ID
135.529721,34.659994,桃谷公園　公衆トイレ,ももだにこうえん　こうしゅうといれ,桃谷公園　公衆トイレ（ももだにこうえん　こうしゅうといれ）,,生野区,,公衆トイレ/車いす対応公衆便所,209,29619
135.5605801,34.64490686,巽東緑地　公衆トイレ,たつみひがしりょくち　こうしゅうといれ,巽東緑地　公衆トイレ（たつみひがしりょくち　こうしゅうといれ）,,生野区,,公衆トイレ/車いす対応公衆便所,209,29623
135.5465341,34.65178256,巽公園　公衆トイレ,たつみこうえん　こうしゅうといれ,巽公園　公衆トイレ（たつみこうえん　こうしゅうといれ）,,生野区,,公衆トイレ/車いす対応公衆便所,209,29621
135.5032923,34.66890839,太左衛門橋,たざえもんばし,太左衛門橋（たざえもんばし）,,中央区,便器数　　男性用　小：３　　車椅子対応：１,公衆トイレ/車いす対応公衆便所,209,29300
135.5043709,34.66919983,相合橋,あいあうばし,相合橋（あいあうばし）,,中央区,便器数　　男性用　小：１　　女性用　洋：１　　車椅子対応：１,公衆トイレ/車いす対応公衆便所,209,29433
135.5281747,34.67058364,真田山公園　公衆トイレ１,さなだやまこうえん　こうしゅうといれ１,真田山公園　公衆トイレ１（さなだやまこうえん　こうしゅうといれ１）,,天王寺区,,公衆トイレ/車いす対応公衆便所,209,29569
135.5328653,34.66962761,東小橋公園　公衆トイレ,ひがしこはしこうえん　こうしゅうといれ,東小橋公園　公衆トイレ（ひがしこはしこうえん　こうしゅうといれ）,,東成区,,公衆トイレ/車いす対応公衆便所,209,29616
135.533473,34.673189,東小橋北公園　公衆トイレ,ひがしこはしきたこうえん　こうしゅうといれ,東小橋北公園　公衆トイレ（ひがしこはしきたこうえん　こうしゅうといれ）,,東成区,,公衆トイレ/車いす対応公衆便所,209,29617
135.5296489,34.68237194,大阪城公園　公衆トイレ１１,おおさかじょうこうえん　こうしゅうといれ１１,大阪城公園　公衆トイレ１１（おおさかじょうこうえん　こうしゅうといれ１１）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29388
135.5329778,34.68231692,大阪城公園　公衆トイレ１４,おおさかじょうこうえん　こうしゅうといれ１４,大阪城公園　公衆トイレ１４（おおさかじょうこうえん　こうしゅうといれ１４）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29391
135.4894201,34.68352875,靭公園　公衆トイレ１,うつぼこうえん　こうしゅうといれ１,靭公園　公衆トイレ１（うつぼこうえん　こうしゅうといれ１）,,西区,,公衆トイレ/車いす対応公衆便所,209,29348
135.4931196,34.68527942,靭公園　公衆トイレ２,うつぼこうえん　こうしゅうといれ２,靭公園　公衆トイレ２（うつぼこうえん　こうしゅうといれ２）,,西区,,公衆トイレ/車いす対応公衆便所,209,29349
135.4950438,34.68632981,靭公園　公衆トイレ３,うつぼこうえん　こうしゅうといれ３,靭公園　公衆トイレ３（うつぼこうえん　こうしゅうといれ３）,,西区,,公衆トイレ/車いす対応公衆便所,209,29350
135.4961366,34.68605244,靭公園　公衆トイレ４,うつぼこうえん　こうしゅうといれ４,靭公園　公衆トイレ４（うつぼこうえん　こうしゅうといれ４）,,西区,,公衆トイレ/車いす対応公衆便所,209,29351
135.5125798,34.69232167,南天満公園　公衆トイレ１,みなみてんまこうえん　こうしゅうといれ１,南天満公園　公衆トイレ１（みなみてんまこうえん　こうしゅうといれ１）,,北区,,公衆トイレ/車いす対応公衆便所,209,29480
135.5262627,34.68659575,大阪城公園　公衆トイレ１,おおさかじょうこうえん　こうしゅうといれ１,大阪城公園　公衆トイレ１（おおさかじょうこうえん　こうしゅうといれ１）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29378
135.5253949,34.68676711,大阪城公園　公衆トイレ２,おおさかじょうこうえん　こうしゅうといれ２,大阪城公園　公衆トイレ２（おおさかじょうこうえん　こうしゅうといれ２）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29379
135.5251011,34.68572928,大阪城公園　公衆トイレ３,おおさかじょうこうえん　こうしゅうといれ３,大阪城公園　公衆トイレ３（おおさかじょうこうえん　こうしゅうといれ３）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29380
135.5255243,34.68447464,大阪城公園　公衆トイレ７,おおさかじょうこうえん　こうしゅうといれ７,大阪城公園　公衆トイレ７（おおさかじょうこうえん　こうしゅうといれ７）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29384
135.5215822,34.6856255,大阪城公園　公衆トイレ８,おおさかじょうこうえん　こうしゅうといれ８,大阪城公園　公衆トイレ８（おおさかじょうこうえん　こうしゅうといれ８）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29385
135.5220168,34.68354794,大阪城公園　公衆トイレ９,大阪城公園　公衆トイレ９,大阪城公園　公衆トイレ９（大阪城公園　公衆トイレ９）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29386
135.5261899,34.68972281,大阪城公園　公衆トイレ５,おおさかじょうこうえん　こうしゅうといれ５,大阪城公園　公衆トイレ５（おおさかじょうこうえん　こうしゅうといれ５）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29382
135.5228758,34.6884025,大阪城公園　公衆トイレ６,おおさかじょうこうえん　こうしゅうといれ６,大阪城公園　公衆トイレ６（おおさかじょうこうえん　こうしゅうといれ６）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29383
135.5283081,34.68676711,大阪城公園　公衆トイレ４,おおさかじょうこうえん　こうしゅうといれ４,大阪城公園　公衆トイレ４（おおさかじょうこうえん　こうしゅうといれ４）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29381
135.5304298,34.68426225,大阪城公園　公衆トイレ１２,おおさかじょうこうえん　こうしゅうといれ１２,大阪城公園　公衆トイレ１２（おおさかじょうこうえん　こうしゅうといれ１２）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29389
135.5320905,34.68362664,大阪城公園　公衆トイレ１３,おおさかじょうこうえん　こうしゅうといれ１３,大阪城公園　公衆トイレ１３（おおさかじょうこうえん　こうしゅうといれ１３）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29390
135.5332284,34.68634089,大阪城公園　公衆トイレ１５,おおさかじょうこうえん　こうしゅうといれ１５,大阪城公園　公衆トイレ１５（おおさかじょうこうえん　こうしゅうといれ１５）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29392
135.5314713,34.68942736,大阪城公園　公衆トイレ１７,おおさかじょうこうえん　こうしゅうといれ１７,大阪城公園　公衆トイレ１７（おおさかじょうこうえん　こうしゅうといれ１７）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29394
135.5285224,34.68990083,大阪城公園　公衆トイレ１８,おおさかじょうこうえん　こうしゅうといれ１８,大阪城公園　公衆トイレ１８（おおさかじょうこうえん　こうしゅうといれ１８）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29395
135.5323398,34.68906469,大阪城公園　公衆トイレ１６,おおさかじょうこうえん　こうしゅうといれ１６,大阪城公園　公衆トイレ１６（おおさかじょうこうえん　こうしゅうといれ１６）,,中央区,,公衆トイレ/車いす対応公衆便所,209,29393
